"a_y","a_z","a_x"
0.6221307034,0.1738913385,0.3921274234
0.5837495376,0.2732934797,0.2987614417
0.6156482384,0.1976529006,0.328553133
0.5957702838,0.2403990326,0.3661098543
0.5446524681,0.2294988553,0.442985722
0.6905361161,0.1641044272,0.3781355524
0.6453495274,0.2488421176,0.2853666377
0.6714757725,0.1837927225,0.355083516
0.644918705,0.1650012322,0.3421238777
0.6118692822,0.2466745987,0.3416533138
0.4746562888,0.4054235573,0.2813174488
0.5529121337,0.2804203231,0.3425550204
0.537940927,0.1849392199,0.3911231766
0.6679801278,0.208947555,0.3590652122
0.5685236532,0.2545315622,0.2950011828
0.6341112757,0.2197593926,0.2746086046
0.7187882018,0.2402383616,0.2429896514
0.6506825617,0.2593719825,0.2968864383
0.6393548936,0.2857187783,0.2728809753
0.5548403946,0.242914097,0.3754167606
0.5690427919,0.2520487511,0.3381052976
0.283063381,0.5634794666,0.2799688115
0.6661950102,0.1966169575,0.2755975323
0.669756535,0.1922577822,0.3065848949
0.6507987668,0.2759197693,0.2878645576
0.6306085186,0.2227288388,0.3766739633
0.6810108437,0.2125669588,0.2915214276
0.6345314384,0.1594676982,0.302323428
0.7490033493,0.2585156947,0.2565484689
0.6449978818,0.2294781478,0.3386519377
0.6267763391,0.3143630375,0.2456175732
0.7292477608,0.1636152385,0.3546279538
0.6321991445,0.1696242649,0.3750105957
0.4975162939,0.3467124425,0.3114020358
0.6609987754,0.2596854245,0.2490578747
0.666944217,0.2408703117,0.3398529192
0.6485972217,0.1781946469,0.2405152229
0.6506800349,0.1302972791,0.1380675424
0.6101538376,0.2282526434,0.3887739118
0.5640126953,0.2788665901,0.3511386051
0.6264226985,0.2400605785,0.3468392425
0.6813918339,0.1688917954,0.3511543295
0.6332095063,0.1976838534,0.3462797626
0.6855613007,0.1962979871,0.3030613107
0.5944940481,0.274023116,0.3362420354
0.6766107189,0.228300187,0.2812158279
0.6277583029,0.2280850832,0.340866454
0.5954505271,0.2500210378,0.3673632261
0.6602018487,0.2710134596,0.2591167913
0.6346769799,0.1873775265,0.3829649663
0.6473938605,0.2410436333,0.322316282
0.5578304799,0.250751271,0.3883926736
0.6018020953,0.2624782902,0.3061793888
0.6412716696,0.2245208293,0.2761104966
0.685250331,0.1442929082,0.2772634404
0.5542244055,0.3096179005,0.3329120268
0.6267271196,0.2206381575,0.2625409079
0.639212953,0.1641748102,0.3966853485
0.6709408782,0.1414299194,0.3836486565
0.6216649586,0.2411772635,0.3499942607
0.5896443731,0.2960139763,0.2964493541
0.6865430975,0.2185662711,0.2766547981
0.5512959356,0.3073290785,0.2627044308
0.6426224848,0.1968792832,0.2329534482
0.5847962491,0.2955856166,0.3024051422
0.3995594764,0.3859695751,0.3988777089
0.642008439,0.1637756991,0.3797917713
0.6676854898,0.2037122873,0.3441422954
0.6838001591,0.2312574246,0.2450432019
0.6709001939,0.2157703076,0.3457210696
0.4909930112,0.4148177796,0.2563358842
0.6849920652,0.2287434859,0.2711319665
0.5379473952,0.2763754311,0.3149031943
0.6600463436,0.2217809574,0.3354895182
0.6245968823,0.2386197464,0.2602040038
0.5014834014,0.3225575725,0.3487694065
0.5275915978,0.3679882814,0.1450852278
0.6908190372,0.2664876026,0.3458835671
0.6586748721,0.2165296901,0.3125284527
0.6202871081,0.2654773112,0.296444589
0.6502199941,0.2435649398,0.2836076303
0.6664613776,0.1938139208,0.3635220495
0.6944802766,0.1357748281,0.2888400326
0.6972690975,0.1684643396,0.2949213928
0.4200207058,0.3778749973,0.3603557074
0.5776321164,0.3400481779,0.3395521594
0.5605232817,0.2398701313,0.372716951
0.6560486104,0.1707128643,0.3402760447
0.670762017,0.2285293917,0.3257987402
0.5922691186,0.2390397262,0.341988489
0.5825200842,0.2113808365,0.3829700878
0.6466561114,0.1623923666,0.3494887453
0.6347016004,0.219478623,0.3623433148
0.5695880622,0.2407296679,0.3048820321
