a_y,a_z,a_x,i_y,i_z,i_x,u_y,u_z,u_x
0.6221307034,0.1738913385,0.3921274234,0.1739251571,0.9072536125,0.1124758702,0.1881435525,0.4729691455,0.4219316348
0.5837495376,0.2732934797,0.2987614417,0.2507936196,0.88213562,0.1223957304,0.3503576803,0.3170341292,0.4691492358
0.6156482384,0.1976529006,0.328553133,0.1196615998,1.0243474547,0.1287397838,0.2423501324,0.4261316166,0.481308012
0.5957702838,0.2403990326,0.3661098543,0.2269597956,0.8631584665,0.0694284779,0.2206285795,0.2265003892,0.7619965453
0.5446524681,0.2294988553,0.442985722,0.3290527217,0.8356695979,0.1094424496,0.17645044,0.3347485434,0.6834253535
0.6905361161,0.1641044272,0.3781355524,0.1222984198,1.0175434095,0.0836286729,0.1727524583,0.3624084648,0.6388901581
0.6453495274,0.2488421176,0.2853666377,0.2756855078,0.8486723825,0.1101686705,0.2911061431,0.3028944143,0.5857084223
0.6714757725,0.1837927225,0.355083516,0.2671969291,0.8752065253,0.0884971992,0.3475402696,0.2303301028,0.60099889
0.644918705,0.1650012322,0.3421238777,0.2090332107,0.9424315434,0.1074702843,0.1918054081,0.407183305,0.5428907561
0.6118692822,0.2466745987,0.3416533138,0.213851195,0.9502527433,0.1286157449,0.2934781917,0.2793364806,0.552423637
0.4746562888,0.4054235573,0.2813174488,0.1734219487,0.9310070118,0.1194764858,0.2632239912,0.3727442649,0.4594475622
0.5529121337,0.2804203231,0.3425550204,0.17415272,0.9767943126,0.0871832378,0.3229164294,0.3002684947,0.5106671507
0.537940927,0.1849392199,0.3911231766,0.122802597,1.0209195601,0.1316497758,0.1823953166,0.5127253529,0.4367747438
0.6679801278,0.208947555,0.3590652122,0.3285593232,0.8479249901,0.0826404093,0.1662786068,0.4416990921,0.551838129
0.5685236532,0.2545315622,0.2950011828,0.2802060678,0.8777467939,0.1180658677,0.2644876909,0.2950835251,0.579582283
0.6341112757,0.2197593926,0.2746086046,0.1988731805,0.8822309278,0.1605005448,0.2942362826,0.2734818768,0.5161359964
0.7187882018,0.2402383616,0.2429896514,0.29033103,0.8643325179,0.1125055424,0.3086020939,0.2792302376,0.5776958321
0.6506825617,0.2593719825,0.2968864383,0.185416907,0.9447646309,0.1422919729,0.3084626117,0.3899338298,0.450383745
0.6393548936,0.2857187783,0.2728809753,0.3140830318,0.8703447795,0.0849155601,0.1811223437,0.3871030347,0.5719716784
0.5548403946,0.242914097,0.3754167606,0.2505514484,0.8938889186,0.0907165982,0.2143334264,0.371217684,0.5492865857
0.5690427919,0.2520487511,0.3381052976,0.276825403,0.9141818685,0.064035966,0.3090034459,0.3065180831,0.5283077982
0.283063381,0.5634794666,0.2799688115,0.1474222813,0.8341386146,0.1869571613,0.1482934749,0.4630724038,0.5162281288
0.6661950102,0.1966169575,0.2755975323,0.1730097762,0.9732642767,0.1005607178,0.2547797929,0.3395717066,0.5274790445
0.669756535,0.1922577822,0.3065848949,0.1444940929,1.0077190927,0.1368951096,0.1990626446,0.3660809781,0.5932056294
0.6507987668,0.2759197693,0.2878645576,0.1332113479,1.0499519394,0.112408776,0.2984623905,0.3260572622,0.5594801336
0.6306085186,0.2227288388,0.3766739633,0.2033222949,0.8263731722,0.2503644699,0.177478357,0.4762873719,0.4673257851
0.6810108437,0.2125669588,0.2915214276,0.2432659633,0.9099811881,0.0894328266,0.3082504941,0.3281302655,0.5554320986
0.6345314384,0.1594676982,0.302323428,0.3561330243,0.7662113444,0.1118264655,0.335155798,0.259837366,0.5601110772
0.7490033493,0.2585156947,0.2565484689,0.2273058425,0.675244035,0.3028163877,0.2285466516,0.3968386987,0.527253157
0.6449978818,0.2294781478,0.3386519377,0.3945014724,0.7973320345,0.101461226,0.3593775321,0.1787232244,0.5449705885
0.6267763391,0.3143630375,0.2456175732,0.3130530386,0.8516554855,0.0925956658,0.3023369778,0.2640716891,0.5557679589
0.7292477608,0.1636152385,0.3546279538,0.1589384861,1.0112191625,0.1055555088,0.2253681421,0.3909370751,0.6162744182
0.6321991445,0.1696242649,0.3750105957,0.3275553881,0.8024911819,0.1236407257,0.3073778538,0.2822925635,0.5416635621
0.4975162939,0.3467124425,0.3114020358,0.1535783083,0.9691695799,0.13970018,0.1829234894,0.4261560019,0.4736447568
0.6609987754,0.2596854245,0.2490578747,0.1893070719,0.9834026035,0.1279227056,0.2511836817,0.3570934971,0.5813379016
0.666944217,0.2408703117,0.3398529192,0.3583724544,0.8275127138,0.0842938518,0.3195593954,0.3391625887,0.4909844829
0.6485972217,0.1781946469,0.2405152229,0.18435266,0.9046413701,0.0688307019,0.2256836227,0.4154091713,0.476268104
0.6506800349,0.1302972791,0.1380675424,0.2775007748,0.8472282904,0.1091391446,0.3613643927,0.2692385187,0.5375968556
0.6101538376,0.2282526434,0.3887739118,0.1949010405,0.986559891,0.0966958968,0.2158170835,0.5373495629,0.3779106248
0.5640126953,0.2788665901,0.3511386051,0.1820855565,0.9338158693,0.0960544008,0.2180417949,0.4030748692,0.4924173504
0.6264226985,0.2400605785,0.3468392425,0.2157179235,0.9210675211,0.1228875268,0.3514604995,0.3152834652,0.5250997041
0.6813918339,0.1688917954,0.3511543295,0.192188997,0.9237723061,0.1384786354,0.3353992177,0.3005674032,0.5165425976
0.6332095063,0.1976838534,0.3462797626,0.23771005,0.9028955153,0.1121665814,0.2501951359,0.3342914703,0.5409004874
0.6855613007,0.1962979871,0.3030613107,0.3229732057,0.8483332412,0.1013418207,0.4350237667,0.3498473203,0.2710925584
0.5944940481,0.274023116,0.3362420354,0.2936067083,0.8256466949,0.0764202865,0.3006996547,0.2919425691,0.5737893729
0.6766107189,0.228300187,0.2812158279,0.2716461991,0.8618946667,0.1243595008,0.3015223137,0.3553287623,0.4573268051
0.6277583029,0.2280850832,0.340866454,0.1980024173,0.9759897254,0.0591801593,0.1705058765,0.4474927011,0.5600756279
0.5954505271,0.2500210378,0.3673632261,0.2788815125,0.8470928588,0.1075380249,0.2943059351,0.2496760352,0.6220870305
0.6602018487,0.2710134596,0.2591167913,0.1915916114,0.9736590402,0.1107429032,0.3513453193,0.1700532971,0.682224743
0.6346769799,0.1873775265,0.3829649663,0.102340756,1.0456640069,0.1509563341,0.2199074997,0.4390908288,0.4717715365
0.6473938605,0.2410436333,0.322316282,0.2026972062,0.9649573288,0.0831949937,0.3371710846,0.3219163835,0.5165084436
0.5578304799,0.250751271,0.3883926736,0.157301665,1.0101564607,0.1190715658,0.2112412729,0.3676490942,0.622861764
0.6018020953,0.2624782902,0.3061793888,0.1935383328,0.9260887322,0.1117053648,0.1698227429,0.3926138653,0.5573701003
0.6412716696,0.2245208293,0.2761104966,0.161654844,0.9616535717,0.1107001748,0.2666878206,0.3582908992,0.4880474851
0.685250331,0.1442929082,0.2772634404,0.3633024081,0.7700511746,0.0613025345,0.1784934598,0.4320647946,0.4733113392
0.5542244055,0.3096179005,0.3329120268,0.2272458207,0.9336527769,0.1058022922,0.2788816646,0.3280125325,0.5511585326
0.6267271196,0.2206381575,0.2625409079,0.2114453906,0.9043992247,0.1311857228,0.3685655999,0.2682923349,0.4808394483
0.639212953,0.1641748102,0.3966853485,0.1649026005,0.9795345473,0.055966647,0.2531014404,0.3797197511,0.5174516432
0.6709408782,0.1414299194,0.3836486565,0.0985165652,1.0968871186,0.0878501612,0.2956078452,0.3995847082,0.4209618208
0.6216649586,0.2411772635,0.3499942607,0.2927953947,0.8758621569,0.0871190651,0.3067299138,0.2697036706,0.5638123834
0.5896443731,0.2960139763,0.2964493541,0.3760927966,0.771749595,0.0883141768,0.3836804873,0.3485013461,0.4215798115
0.6865430975,0.2185662711,0.2766547981,0.1985830952,0.833889799,0.2080063426,0.1826763964,0.452012529,0.4562774903
0.5512959356,0.3073290785,0.2627044308,0.1859609683,0.9114605088,0.1169727041,0.1972565657,0.3691637412,0.5527942813
0.6426224848,0.1968792832,0.2329534482,0.2704865234,0.8422903994,0.0884941908,0.3457283335,0.2781291175,0.4490631213
0.5847962491,0.2955856166,0.3024051422,0.378346755,0.7837958918,0.1263649289,0.3043459921,0.3548359872,0.5031147766
0.3995594764,0.3859695751,0.3988777089,0.1800903299,0.9745569674,0.096652941,0.3180234283,0.2462076788,0.6327158801
0.642008439,0.1637756991,0.3797917713,0.3338906619,0.8112157194,0.096194555,0.3336091677,0.3016512255,0.5383027349
0.6676854898,0.2037122873,0.3441422954,0.2356764286,0.8949117386,0.093141622,0.2510601764,0.3190749996,0.5799574989
0.6838001591,0.2312574246,0.2450432019,0.3070573377,0.8923001415,0.086416715,0.3042175451,0.3668762207,0.5416178693
0.6709001939,0.2157703076,0.3457210696,0.3065918171,0.8557866944,0.1056875328,0.292499656,0.1600380465,0.7105280001
0.4909930112,0.4148177796,0.2563358842,0.1352426436,1.0295875474,0.0861859257,0.2028456143,0.3855703605,0.5962205619
0.6849920652,0.2287434859,0.2711319665,0.1662795983,0.9389088729,0.1056057816,0.1998028388,0.4857743837,0.4497630297
0.5379473952,0.2763754311,0.3149031943,0.1814924317,0.9625289174,0.1180779327,0.2886059954,0.2566279057,0.6044897098
