"i_y","i_z","i_x"
0.1739251571,0.9072536125,0.1124758702
0.2507936196,0.88213562,0.1223957304
0.1196615998,1.0243474547,0.1287397838
0.2269597956,0.8631584665,0.0694284779
0.3290527217,0.8356695979,0.1094424496
0.1222984198,1.0175434095,0.0836286729
0.2756855078,0.8486723825,0.1101686705
0.2671969291,0.8752065253,0.0884971992
0.2090332107,0.9424315434,0.1074702843
0.213851195,0.9502527433,0.1286157449
0.1734219487,0.9310070118,0.1194764858
0.17415272,0.9767943126,0.0871832378
0.122802597,1.0209195601,0.1316497758
0.3285593232,0.8479249901,0.0826404093
0.2802060678,0.8777467939,0.1180658677
0.1988731805,0.8822309278,0.1605005448
0.29033103,0.8643325179,0.1125055424
0.185416907,0.9447646309,0.1422919729
0.3140830318,0.8703447795,0.0849155601
0.2505514484,0.8938889186,0.0907165982
0.276825403,0.9141818685,0.064035966
0.1474222813,0.8341386146,0.1869571613
0.1730097762,0.9732642767,0.1005607178
0.1444940929,1.0077190927,0.1368951096
0.1332113479,1.0499519394,0.112408776
0.2033222949,0.8263731722,0.2503644699
0.2432659633,0.9099811881,0.0894328266
0.3561330243,0.7662113444,0.1118264655
0.2273058425,0.675244035,0.3028163877
0.3945014724,0.7973320345,0.101461226
0.3130530386,0.8516554855,0.0925956658
0.1589384861,1.0112191625,0.1055555088
0.3275553881,0.8024911819,0.1236407257
0.1535783083,0.9691695799,0.13970018
0.1893070719,0.9834026035,0.1279227056
0.3583724544,0.8275127138,0.0842938518
0.18435266,0.9046413701,0.0688307019
0.2775007748,0.8472282904,0.1091391446
0.1949010405,0.986559891,0.0966958968
0.1820855565,0.9338158693,0.0960544008
0.2157179235,0.9210675211,0.1228875268
0.192188997,0.9237723061,0.1384786354
0.23771005,0.9028955153,0.1121665814
0.3229732057,0.8483332412,0.1013418207
0.2936067083,0.8256466949,0.0764202865
0.2716461991,0.8618946667,0.1243595008
0.1980024173,0.9759897254,0.0591801593
0.2788815125,0.8470928588,0.1075380249
0.1915916114,0.9736590402,0.1107429032
0.102340756,1.0456640069,0.1509563341
0.2026972062,0.9649573288,0.0831949937
0.157301665,1.0101564607,0.1190715658
0.1935383328,0.9260887322,0.1117053648
0.161654844,0.9616535717,0.1107001748
0.3633024081,0.7700511746,0.0613025345
0.2272458207,0.9336527769,0.1058022922
0.2114453906,0.9043992247,0.1311857228
0.1649026005,0.9795345473,0.055966647
0.0985165652,1.0968871186,0.0878501612
0.2927953947,0.8758621569,0.0871190651
0.3760927966,0.771749595,0.0883141768
0.1985830952,0.833889799,0.2080063426
0.1859609683,0.9114605088,0.1169727041
0.2704865234,0.8422903994,0.0884941908
0.378346755,0.7837958918,0.1263649289
0.1800903299,0.9745569674,0.096652941
0.3338906619,0.8112157194,0.096194555
0.2356764286,0.8949117386,0.093141622
0.3070573377,0.8923001415,0.086416715
0.3065918171,0.8557866944,0.1056875328
0.1352426436,1.0295875474,0.0861859257
0.1662795983,0.9389088729,0.1056057816
0.1814924317,0.9625289174,0.1180779327
0.1522082731,0.9961690767,0.0793613641
0.1655431129,0.9325236127,0.1259216719
0.2522217469,0.8989824838,0.1089152218
0.2993233037,0.8204541356,0.1244182615
