speaker,gender,cv_1_y,cv_1_z,cv_1_x,cv_2_y,cv_2_z,cv_2_x,cv_3_y,cv_3_z,cv_3_x,cv_4_y,cv_4_z,cv_4_x,cv_5_y,cv_5_z,cv_5_x,cv_6_y,cv_6_z,cv_6_x,cv_7_y,cv_7_z,cv_7_x,cv_8_y,cv_8_z,cv_8_x,cv_1_y_mean,cv_1_z_mean,cv_1_x_mean,cv_2_y_mean,cv_2_z_mean,cv_2_x_mean,cv_3_y_mean,cv_3_z_mean,cv_3_x_mean,cv_4_y_mean,cv_4_z_mean,cv_4_x_mean,cv_5_y_mean,cv_5_z_mean,cv_5_x_mean,cv_6_y_mean,cv_6_z_mean,cv_6_x_mean,cv_7_y_mean,cv_7_z_mean,cv_7_x_mean,cv_8_y_mean,cv_8_z_mean,cv_8_x_mean
david_madore,m,0.1910913862,0.8989984567,0.200815913,0.4366816452,0.6931385527,0.1287030217,0.60330664,0.52424103,0.085450808,0.7748030413,0.2395419818,0.19908932,0.6341655299,0.17897133,0.4356226446,0.4969913223,0.3341379494,0.4233305248,0.4418573447,0.4872073566,0.322846605,0.3529240364,0.6119256793,0.2478078979,0.258089195546667,0.906452519673333,0.143994744373333,0.43119061966,0.722059905906667,0.099255600053333,0.601029495946667,0.484554788353333,0.13796452952,0.7275925812,0.245828812446667,0.235883733486667,0.61206389026,0.214853959553333,0.424223614113333,0.500301739673333,0.234482223733333,0.50484012778,0.408610485106667,0.3162573128,0.50628996788,0.302897415286667,0.45567815708,0.44775302806
wikipedia,m,0.2115226946,0.9815070505,0.1204750204,0.3801615933,0.8384254723,0.0648597566,0.5450023853,0.5198945259,0.1507909224,0.7637472498,0.1803549855,0.2885515925,0.7229654977,0.2065604177,0.3150561141,0.4989791763,0.1329227955,0.6089132239,0.440168519,0.3089326711,0.5169930389,0.2943916417,0.5613600565,0.3619726233,,,,,,,,,,,,,,,,,,,,,,,,
dan_lenard,m,0.2826106222,0.8924733166,0.0775889747,0.5738399561,0.5615645665,0.0952253756,0.5989849057,0.4543760879,0.1459850912,0.7148715926,0.2398213216,0.2372561323,0.667019205,0.1977108898,0.3672838548,0.5207075859,0.1133472526,0.597227875,0.5825776098,0.2095555341,0.3990374129,0.3085402645,0.3665764513,0.4664576958,,,,,,,,,,,,,,,,,,,,,,,,
macquairie_uni,m,0.3341322034,0.8776964273,0.1519711989,0.3491342772,0.8516682383,0.1118461067,0.640262388,0.5245895396,0.140237851,0.6996015603,0.3556167521,0.2143712151,0.4256933903,0.355168921,0.5082028646,0.3941925389,0.3063977361,0.5712921372,0.3408236699,0.2629011904,0.6638784455,0.2733637297,0.255171195,0.7031425016,,,,,,,,,,,,,,,,,,,,,,,,
uni_sheffield,f,0.1547867235,0.9854602991,0.1083951679,0.4125246255,0.6740133437,0.0863569929,0.5252639014,0.5270847734,0.1049203193,0.5488715172,0.4166858048,0.1475898496,0.5882668148,0.410301157,0.2479032371,0.3565106399,0.3207012566,0.5349760036,0.2571939213,0.2030248214,0.6884494132,0.1425544569,0.4034292515,0.5402068337,,,,,,,,,,,,,,,,,,,,,,,,
uni_sheffield,m,0.2414085787,0.9277040832,0.141187974,0.3684870281,0.7888199536,0.1193093371,0.5850319397,0.4563327339,0.1716298752,0.574971124,0.314631896,0.3124674894,0.5646004514,0.1296554485,0.5801985363,0.4163590699,0.1822927723,0.6569538036,0.3669824775,0.181111554,0.6591144823,0.2820268985,0.2896176701,0.6082905936,,,,,,,,,,,,,,,,,,,,,,,,
daniel_jones,m,0.1879133503,0.9574094226,0.15447585,0.3201786462,0.7797709363,0.0762560704,0.4890929529,0.5762422622,0.0613603105,0.712377226,0.2808574828,0.162122392,0.5455901097,0.1795176811,0.4216957029,0.491274051,0.2314339928,0.3864100843,0.3611535556,0.2663138657,0.5158012588,0.2836052111,0.7249685796,0.2496684622,,,,,,,,,,,,,,,,,,,,,,,,
uvic,m,0.4981637582,0.6265463033,0.1450176044,0.6030122593,0.5073342041,0.1301946749,0.7110262844,0.36600662,0.1443691893,0.8117713375,0.1943507976,0.2369436184,0.7101541178,0.218518436,0.3168246003,0.6918375503,0.198753156,0.34101342,0.5707352776,0.2703100985,0.4166278926,0.4988228784,0.3463501745,0.3658970267,,,,,,,,,,,,,,,,,,,,,,,,
john_wells,m,0.2232111282,0.897081429,0.2130514475,0.4276458103,0.6936904595,0.1140286667,0.6137964747,0.4298675327,0.1564559131,0.8121674932,0.162615138,0.2142857595,0.5371143209,0.2483090579,0.4481417381,0.4404067289,0.2901050265,0.4995069133,0.3933084426,0.1849043956,0.6132059865,0.3032705814,0.7825113364,0.2518802949,,,,,,,,,,,,,,,,,,,,,,,,
jonathan_dowse,m,0.1847803312,1.0360936779,0.1365847777,0.560412554,0.6304594655,0.1131296224,0.6756626168,0.4670768074,0.1601989105,0.8104977598,0.2358193707,0.2832236363,0.628654739,0.2398096907,0.4337635163,0.5628204629,0.1991792838,0.5163537785,0.4879517886,0.590416224,0.2433230597,0.2903904846,0.3323723115,0.6355841615,,,,,,,,,,,,,,,,,,,,,,,,
