"u_y","u_z","u_x"
0.1881435525,0.4729691455,0.4219316348
0.3503576803,0.3170341292,0.4691492358
0.2423501324,0.4261316166,0.481308012
0.2206285795,0.2265003892,0.7619965453
0.17645044,0.3347485434,0.6834253535
0.1727524583,0.3624084648,0.6388901581
0.2911061431,0.3028944143,0.5857084223
0.3475402696,0.2303301028,0.60099889
0.1918054081,0.407183305,0.5428907561
0.2934781917,0.2793364806,0.552423637
0.2632239912,0.3727442649,0.4594475622
0.3229164294,0.3002684947,0.5106671507
0.1823953166,0.5127253529,0.4367747438
0.1662786068,0.4416990921,0.551838129
0.2644876909,0.2950835251,0.579582283
0.2942362826,0.2734818768,0.5161359964
0.3086020939,0.2792302376,0.5776958321
0.3084626117,0.3899338298,0.450383745
0.1811223437,0.3871030347,0.5719716784
0.2143334264,0.371217684,0.5492865857
0.3090034459,0.3065180831,0.5283077982
0.1482934749,0.4630724038,0.5162281288
0.2547797929,0.3395717066,0.5274790445
0.1990626446,0.3660809781,0.5932056294
0.2984623905,0.3260572622,0.5594801336
0.177478357,0.4762873719,0.4673257851
0.3082504941,0.3281302655,0.5554320986
0.335155798,0.259837366,0.5601110772
0.2285466516,0.3968386987,0.527253157
0.3593775321,0.1787232244,0.5449705885
0.3023369778,0.2640716891,0.5557679589
0.2253681421,0.3909370751,0.6162744182
0.3073778538,0.2822925635,0.5416635621
0.1829234894,0.4261560019,0.4736447568
0.2511836817,0.3570934971,0.5813379016
0.3195593954,0.3391625887,0.4909844829
0.2256836227,0.4154091713,0.476268104
0.3613643927,0.2692385187,0.5375968556
0.2158170835,0.5373495629,0.3779106248
0.2180417949,0.4030748692,0.4924173504
0.3514604995,0.3152834652,0.5250997041
0.3353992177,0.3005674032,0.5165425976
0.2501951359,0.3342914703,0.5409004874
0.4350237667,0.3498473203,0.2710925584
0.3006996547,0.2919425691,0.5737893729
0.3015223137,0.3553287623,0.4573268051
0.1705058765,0.4474927011,0.5600756279
0.2943059351,0.2496760352,0.6220870305
0.3513453193,0.1700532971,0.682224743
0.2199074997,0.4390908288,0.4717715365
0.3371710846,0.3219163835,0.5165084436
0.2112412729,0.3676490942,0.622861764
0.1698227429,0.3926138653,0.5573701003
0.2666878206,0.3582908992,0.4880474851
0.1784934598,0.4320647946,0.4733113392
0.2788816646,0.3280125325,0.5511585326
0.3685655999,0.2682923349,0.4808394483
0.2531014404,0.3797197511,0.5174516432
0.2956078452,0.3995847082,0.4209618208
0.3067299138,0.2697036706,0.5638123834
0.3836804873,0.3485013461,0.4215798115
0.1826763964,0.452012529,0.4562774903
0.1972565657,0.3691637412,0.5527942813
0.3457283335,0.2781291175,0.4490631213
0.3043459921,0.3548359872,0.5031147766
0.3180234283,0.2462076788,0.6327158801
0.3336091677,0.3016512255,0.5383027349
0.2510601764,0.3190749996,0.5799574989
0.3042175451,0.3668762207,0.5416178693
0.292499656,0.1600380465,0.7105280001
0.2028456143,0.3855703605,0.5962205619
0.1998028388,0.4857743837,0.4497630297
0.2886059954,0.2566279057,0.6044897098
0.2635705476,0.3870052902,0.5241389593
0.2421968721,0.3872641267,0.4810289709
0.2869739226,0.3414290029,0.5854983627
0.3549713927,0.4944380379,0.3366239024
0.2358548941,0.4377154015,0.4762423304
0.3409822936,0.3077675997,0.549141786
0.2073605563,0.4584654865,0.5147168617
0.2390156511,0.3658727666,0.5914419012
0.2995630319,0.2736788187,0.5912990935
0.2949265145,0.3373239784,0.505673005
0.2383983208,0.3676599664,0.5238867621
0.199851432,0.3629652587,0.666776262
0.2666600295,0.3860352956,0.4759333165
0.1613307986,0.4439609476,0.5171437532
0.2540401311,0.3062408923,0.5637931643
0.3425404607,0.3266892732,0.5265643244
0.3349773375,0.2327295663,0.5573407177
0.2863940466,0.2534683062,0.6187849643
0.1765111954,0.4339998429,0.5316671123
0.2493758035,0.3517267629,0.5388889246
0.241535799,0.4266518987,0.4256160291
0.3040262369,0.3459206238,0.4700082095
0.2824737406,0.3209433988,0.6105238047
0.2371640316,0.3199810902,0.5532289011
0.3360282708,0.206250478,0.5978700424
0.1474499671,0.4392604867,0.5203399561
0.3022269128,0.3263732754,0.5088810797
0.1614074723,0.4798554146,0.4618667452
0.2549461169,0.3847504804,0.4981803384
0.2821624006,0.3626270705,0.5350649892
0.197243527,0.4400223578,0.4537147712
0.1716060736,0.372755402,0.615545789
0.3458506426,0.3071675554,0.577373355
0.3303039719,0.286909685,0.5275273117
0.291683594,0.3778868307,0.4539819419
0.2697306229,0.2847574388,0.6046795787
0.2514862135,0.279365533,0.607788777
0.3768293952,0.2688223192,0.5120794733
0.3385559438,0.2432819786,0.5446088895
0.2949942759,0.2738296049,0.5927195403
0.2835960108,0.3682954106,0.4568043359
0.2948481271,0.4031045057,0.4666995559
0.2771249772,0.373091875,0.4764432012
0.2823165721,0.3629340121,0.5617548412
0.1413664067,0.5464343664,0.4176978847
0.2402315006,0.3860169242,0.5595651913
0.1669867372,0.4278384714,0.5014617639
0.277882755,0.2358674565,0.6882272266
0.265543376,0.3727723016,0.5601624644
0.2588957772,0.31162039,0.6471816301
0.3183094617,0.2539477825,0.5620378358
0.1465711441,0.4270624556,0.5876201884
0.1865304073,0.4199036298,0.5412636942
0.1365469141,0.4447597793,0.5536476464
0.3444459353,0.2959754725,0.5029984108
0.2685504743,0.4210554264,0.4575795217
0.355848287,0.2912183458,0.4517652144
0.1996685598,0.4190667924,0.531575824
0.2819820941,0.2540391322,0.6475083473
0.2428325175,0.373654132,0.5640558066
0.2561224718,0.3193782974,0.5595388075
0.3349706957,0.2927019993,0.520472227
0.2353570979,0.3645181841,0.5489059016
0.3635055416,0.4085988798,0.3622079041
0.2143349958,0.37931873,0.582772437
0.1635513989,0.4429906126,0.4894258623
0.3273528952,0.229022016,0.5588984622
0.2936702191,0.3196622086,0.6035652801
0.2882100266,0.2809886192,0.5261139506
0.2417132838,0.3763669576,0.5530210659
0.34632961,0.3456823716,0.421713844
0.3116659677,0.3062889111,0.5703136662
0.3510028511,0.3109517834,0.477952174
0.3400857148,0.2055023462,0.6537505778
0.2108023338,0.3691728963,0.5736770525
0.3193207909,0.3237532286,0.509312536
0.295227046,0.3215725595,0.5263287946
0.3057794769,0.3365433763,0.5302983517
0.3410996944,0.4654308103,0.3332722484
0.3283442289,0.2825560227,0.5637750927
0.2808907166,0.3996761659,0.4213401697
0.2869588861,0.2762604168,0.5464293048
0.2143110488,0.4249358069,0.4969227308
0.2095555148,0.4148465279,0.447729044
0.1889008967,0.4342949561,0.4997604356
0.3104010244,0.306868774,0.534148669
0.3100103727,0.3846555793,0.5233906469
0.2999410863,0.4276647423,0.4452690043
0.3657309612,0.4143123077,0.3890476889
0.1651480031,0.4273257493,0.559350143
0.2264841934,0.5549079932,0.2989770671
0.2350274874,0.424428392,0.4887344237
0.3365128464,0.2863000943,0.5422176162
0.3276271214,0.3694377481,0.4518054629
0.342274494,0.2788704424,0.5498132476
0.2503370561,0.3633546472,0.5460336889
0.2689882014,0.3390226095,0.5588989642
0.2065748919,0.4055962584,0.5244839444
0.2613750308,0.4189715738,0.4802351806
0.3886532741,0.2217930121,0.5596794146
0.3399738497,0.2438332383,0.595628106
0.3109079953,0.2602287959,0.5496865914
0.1899675258,0.4603144716,0.3841685714
0.2329797616,0.3385025646,0.5659728384
0.3343291301,0.3414608425,0.4787350848
0.3308039309,0.4298660529,0.427917695
0.1645831559,0.4816056817,0.4254861875
0.3183093764,0.3518039891,0.5130833668
0.2568558364,0.3338805211,0.5955855347
0.1818046186,0.4407342434,0.474771859
0.3168697666,0.3752894675,0.4658661131
0.3229773492,0.160839741,0.6975109246
0.3046762004,0.2088582214,0.6237936269
0.2689979499,0.2425507139,0.6060803351
0.2334059635,0.3523807013,0.5825528227
0.3557668658,0.2206062564,0.5742016187
0.2135268201,0.4784196016,0.4146395608
0.2049726002,0.3712052604,0.5439229004
0.3838015165,0.2708651174,0.5077046957
0.2046469256,0.4341102075,0.5087825904
0.1811253836,0.3977581257,0.5827340788
0.2955396209,0.3035142463,0.52496454
0.291008911,0.2851480073,0.5542813601
0.1452273927,0.426555549,0.5651819856
0.153723584,0.4569216228,0.5255590451
0.1490602753,0.6181612834,0.4579525364
0.2220936775,0.4012524006,0.503916659
0.2913286504,0.2388657752,0.6503532493
0.3014508717,0.3591165652,0.4710816233
0.1703467363,0.4863194364,0.4810782748
0.2338431735,0.3582580103,0.5206068362
0.3008729124,0.3262178315,0.4951728794
0.1896558942,0.393067097,0.5683162885
0.3276237046,0.322294201,0.4777947939
0.1916703017,0.3761959401,0.6079828382
0.2057120168,0.4280626947,0.4967436672
0.240463514,0.3219922248,0.544311806
0.2723464945,0.3734250679,0.5596838465
0.2001441224,0.3740075865,0.5734526954
0.2556753281,0.3240205212,0.5275644015
0.3582605366,0.2653217974,0.5081269804
0.1290793261,0.6366355425,0.3949369501
0.3197129623,0.3228976957,0.5242024062
0.235948284,0.3708514423,0.5237850038
0.3116474451,0.1924874461,0.6848083901
0.2714915005,0.341609591,0.6583118127
0.2168039044,0.4047861528,0.4986967285
0.2552565192,0.3266601682,0.5735003408
0.196048321,0.4071963309,0.5207644898
0.2395402723,0.4452854063,0.4592552151
0.194804127,0.3511099235,0.5966368073
0.3395854034,0.2568256438,0.5714302109
0.3014829545,0.3102205289,0.6122515005
0.2565333622,0.3434113335,0.5149394174
0.2961887984,0.572049692,0.3382050105
0.255737631,0.3480700366,0.5251044666
0.1751129458,0.385734576,0.5688523636
0.1962922449,0.4032886112,0.5039547382
0.3402045304,0.3866512676,0.4686210515
0.2266216172,0.3496516579,0.5781264696
0.3162015341,0.2985546705,0.5854880332
0.3190844487,0.279036634,0.5286609314
0.2758845852,0.2478122523,0.6846594312
0.3995878406,0.1859043634,0.5779275636
0.2586787402,0.3278473183,0.5120219959
0.2039679932,0.3992855656,0.5368270676
0.3243014247,0.3276898017,0.5031496205
0.2403210076,0.3757202571,0.5440021205
0.3003270745,0.2274911431,0.5962491395
0.3655293824,0.2412308471,0.6054634153
0.3431598613,0.2636661674,0.5271571798
0.2830990844,0.3210550132,0.5070299027
0.1812570904,0.4484649912,0.4732480029
0.2341370982,0.4002432544,0.4672252776
0.312200782,0.2482541482,0.5920740321
0.2645508403,0.4215627331,0.4353643282
0.3218080045,0.2742074911,0.5102367594
0.2225596164,0.322543052,0.6091187183
0.1678879007,0.3944628331,0.5702927856
0.2454953687,0.3577720186,0.5021356349
0.2843860449,0.2997189559,0.5457375898
0.1917264553,0.4628375832,0.4904182613
0.3322489031,0.2532657692,0.5501192247
0.2335430804,0.3472898195,0.5528300832
0.2450475577,0.4077309059,0.4672944509
0.1781281533,0.4179121468,0.542167458
0.2768911669,0.3039201271,0.5512706055
0.2149068823,0.3533128013,0.5642573433
0.287474035,0.2303350883,0.6029364529
0.3502522705,0.491970501,0.3435154628
0.1673849007,0.4399261174,0.5148646487
0.2576738218,0.3635253269,0.4979061692
0.2841514421,0.3505890265,0.4610101485
0.2630901685,0.4162386155,0.4919569568
0.2319270192,0.3387662841,0.543505562
0.202593472,0.4132444709,0.5939039203
0.3197848146,0.1819436241,0.653690523
0.2487366043,0.2681556516,0.6686648846
0.2606274489,0.283151166,0.6005707437
0.2665106516,0.3384556581,0.4869757428
0.3756626879,0.2360163587,0.5301801
0.2801003479,0.2949816824,0.5272457277
0.2016272461,0.3906935912,0.5012284801
0.2556256968,0.33602845,0.5622434434
0.2122803207,0.4049024898,0.5006984056
0.2331781418,0.3652143742,0.558443509
0.1947774687,0.4745400533,0.4394906016
0.3100681045,0.3042856299,0.5178664632
0.2028861522,0.3540498211,0.6035222408
0.1840412702,0.3857112696,0.5722207751
0.1558026776,0.5785170531,0.3796937524
0.230646214,0.3587869084,0.5298207606
0.2211719892,0.3380366573,0.5745608391
0.2430352003,0.469890605,0.4361387284
0.2341637635,0.3834202766,0.4953844645
0.1865027772,0.4023210312,0.5410361572
0.2264742767,0.3301196749,0.6143767171
0.2007180038,0.3975639353,0.5414651377
0.3280719594,0.334607033,0.5102293651
0.1157595954,0.4728216074,0.5349599114
0.1496698914,0.4826210501,0.5069080096
0.2322815502,0.3551144267,0.5866907585
0.3162229779,0.3436114666,0.5159539245
0.1834479658,0.3734159437,0.5799354201
0.2626196416,0.33377773,0.5835401324
0.2598559951,0.30697786,0.588073051
0.2341650629,0.3944682009,0.5096237003
0.2380327777,0.3840989428,0.5054202592
0.3556248283,0.2969446868,0.5520002427
0.3535216962,0.2123455649,0.5458686873
0.3201891822,0.2318475325,0.622961291
0.275462962,0.3275145829,0.6064204678
0.2727307849,0.3635454028,0.5467736431
0.2944344755,0.3465552183,0.5390457875
0.1932462956,0.4289074937,0.560815763
0.2923174742,0.2897929751,0.5191973002
0.2013384845,0.3924999023,0.5432578538
0.2433182457,0.3920514252,0.6029011359
