cv_1_y,cv_1_z,cv_1_x,cv_2_y,cv_2_z,cv_2_x,cv_3_y,cv_3_z,cv_3_x,cv_4_y,cv_4_z,cv_4_x,cv_5_y,cv_5_z,cv_5_x,cv_6_y,cv_6_z,cv_6_x,cv_7_y,cv_7_z,cv_7_x,cv_8_y,cv_8_z,cv_8_x,cv_9_y,cv_9_z,cv_9_x,cv_10_y,cv_10_z,cv_10_x,cv_11_y,cv_11_z,cv_11_x,cv_12_y,cv_12_z,cv_12_x,cv_13_y,cv_13_z,cv_13_x,cv_14_y,cv_14_z,cv_14_x,cv_15_y,cv_15_z,cv_15_x,cv_16_y,cv_16_z,cv_16_x,cv_17_y,cv_17_z,cv_17_x,cv_18_y,cv_18_z,cv_18_x,cv_19_y,cv_19_z,cv_19_x,cv_20_y,cv_20_z,cv_20_x,cv_21_y,cv_21_z,cv_21_x,cv_22_y,cv_22_z,cv_22_x,cv_23_y,cv_23_z,cv_23_x,cv_24_y,cv_24_z,cv_24_x,cv_25_y,cv_25_z,cv_25_x,cv_26_y,cv_26_z,cv_26_x,cv_27_y,cv_27_z,cv_27_x,cv_28_y,cv_28_z,cv_28_x,cv_1_y_mean,cv_1_z_mean,cv_1_x_mean,cv_2_y_mean,cv_2_z_mean,cv_2_x_mean,cv_3_y_mean,cv_3_z_mean,cv_3_x_mean,cv_4_y_mean,cv_4_z_mean,cv_4_x_mean,cv_5_y_mean,cv_5_z_mean,cv_5_x_mean,cv_6_y_mean,cv_6_z_mean,cv_6_x_mean,cv_7_y_mean,cv_7_z_mean,cv_7_x_mean,cv_8_y_mean,cv_8_z_mean,cv_8_x_mean,cv_9_y_mean,cv_9_z_mean,cv_9_x_mean,cv_10_y_mean,cv_10_z_mean,cv_10_x_mean,cv_11_y_mean,cv_11_z_mean,cv_11_x_mean,cv_12_y_mean,cv_12_z_mean,cv_12_x_mean,cv_13_y_mean,cv_13_z_mean,cv_13_x_mean,cv_14_y_mean,cv_14_z_mean,cv_14_x_mean,cv_15_y_mean,cv_15_z_mean,cv_15_x_mean,cv_16_y_mean,cv_16_z_mean,cv_16_x_mean,cv_17_y_mean,cv_17_z_mean,cv_17_x_mean,cv_18_y_mean,cv_18_z_mean,cv_18_x_mean,cv_19_y_mean,cv_19_z_mean,cv_19_x_mean,cv_20_y_mean,cv_20_z_mean,cv_20_x_mean,cv_21_y_mean,cv_21_z_mean,cv_21_x_mean,cv_22_y_mean,cv_22_z_mean,cv_22_x_mean,cv_23_y_mean,cv_23_z_mean,cv_23_x_mean,cv_24_y_mean,cv_24_z_mean,cv_24_x_mean,cv_25_y_mean,cv_25_z_mean,cv_25_x_mean,cv_26_y_mean,cv_26_z_mean,cv_26_x_mean,cv_27_y_mean,cv_27_z_mean,cv_27_x_mean,cv_28_y_mean,cv_28_z_mean,cv_28_x_mean,cv_1_y_median,cv_1_z_median,cv_1_x_median,cv_2_y_median,cv_2_z_median,cv_2_x_median,cv_3_y_median,cv_3_z_median,cv_3_x_median,cv_4_y_median,cv_4_z_median,cv_4_x_median,cv_5_y_median,cv_5_z_median,cv_5_x_median,cv_6_y_median,cv_6_z_median,cv_6_x_median,cv_7_y_median,cv_7_z_median,cv_7_x_median,cv_8_y_median,cv_8_z_median,cv_8_x_median,cv_9_y_median,cv_9_z_median,cv_9_x_median,cv_10_y_median,cv_10_z_median,cv_10_x_median,cv_11_y_median,cv_11_z_median,cv_11_x_median,cv_12_y_median,cv_12_z_median,cv_12_x_median,cv_13_y_median,cv_13_z_median,cv_13_x_median,cv_14_y_median,cv_14_z_median,cv_14_x_median,cv_15_y_median,cv_15_z_median,cv_15_x_median,cv_16_y_median,cv_16_z_median,cv_16_x_median,cv_17_y_median,cv_17_z_median,cv_17_x_median,cv_18_y_median,cv_18_z_median,cv_18_x_median,cv_19_y_median,cv_19_z_median,cv_19_x_median,cv_20_y_median,cv_20_z_median,cv_20_x_median,cv_21_y_median,cv_21_z_median,cv_21_x_median,cv_22_y_median,cv_22_z_median,cv_22_x_median,cv_23_y_median,cv_23_z_median,cv_23_x_median,cv_24_y_median,cv_24_z_median,cv_24_x_median,cv_25_y_median,cv_25_z_median,cv_25_x_median,cv_26_y_median,cv_26_z_median,cv_26_x_median,cv_27_y_median,cv_27_z_median,cv_27_x_median,cv_28_y_median,cv_28_z_median,cv_28_x_median
0.1910913862,0.8989984567,0.200815913,0.4366816452,0.6931385527,0.1287030217,0.60330664,0.52424103,0.085450808,0.7748030413,0.2395419818,0.19908932,0.4817058572,0.17897133,0.4356226446,0.4969913223,0.3341379494,0.4233305248,0.370961937,0.3565655539,0.4819749407,0.2358285688,0.4740613854,0.3578710217,0.248436272,0.8691268516,0.1251688545,0.38308542,0.6618474362,0.1232833653,0.5583634694,0.437322465,0.148272382,0.6652186408,0.2657250287,0.2239553377,0.5365368527,0.1598511262,0.5571018517,0.6146520272,0.3165971008,0.2830714996,0.4728811056,0.5459909211,0.1316288159,0.2952358314,0.6843087416,0.1996215188,0.2059322912,0.8095657514,0.1219149106,0.192258994,0.7628087512,0.1044836671,0.4030500447,0.7443852819,0.0954769922,0.3825022713,0.6320858585,0.1317090128,0.4232007685,0.3763239752,0.4301811425,0.3395239248,0.664438351,0.2442489815,0.3999284363,0.3276115607,0.4620852232,0.5575424592,0.3474275151,0.3321067282,0.6071824104,0.3707571175,0.2461513064,0.4283889279,0.4844588579,0.3089950944,0.662206409,0.4164273847,0.143175941,0.6160913919,0.2639930056,0.3194221963,0.257513788393333,0.906452519673333,0.143994744373333,0.42187663232,0.722059905906667,0.099255600053333,0.601029495946667,0.484554788353333,0.13796452952,0.737996785166667,0.245828812446667,0.235883733486667,0.579418358153333,0.214853959553333,0.424223614113333,0.4853467345,0.204163176113333,0.544003098926667,0.38593040576,0.25241878622,0.584363082553333,0.271262666186667,0.3802585833,0.50335669268,0.26158119302,0.83756014306,0.104194939853333,0.392107582,0.641056027886667,0.143320133433333,0.542016853371429,0.435194390471429,0.193435879385714,0.637783052761539,0.324217847415385,0.235903441415385,0.552381460014286,0.149529026878571,0.532291893892857,0.6010141435,0.2521651085,0.365273993214286,0.442171560121429,0.449760276328571,0.3117553855,0.322193787986667,0.597350732173333,0.292616158826667,0.305048238933333,0.761638983833333,0.123789326108333,0.282085907558333,0.709781796608334,0.164664697691667,0.395408744466667,0.735386432155555,0.112011944611111,0.350871936777778,0.698382985411111,0.118685841677778,0.414421293622222,0.342774389655556,0.441838393766667,0.410628600644444,0.6149950004,0.206116176266667,0.426467733633333,0.469311276888889,0.294404641677778,0.544906101354545,0.373443173154545,0.297368006881818,0.59329206571,0.36165820527,0.2778092499,0.544413843566667,0.359340560122222,0.292554155966667,0.7109507387,0.328802587563636,0.170598715618182,0.64520665382,0.26208014855,0.32708365593,0.2418886913,0.8989984567,0.1450176044,0.4276458103,0.6957860259,0.1069276935,0.5989849057,0.4950083386,0.1443691893,0.738245007,0.2358193707,0.2372561323,0.6101042,0.2020124768,0.4356226446,0.4969913223,0.1822927723,0.5270600164,0.3778979274,0.2617786566,0.6132059865,0.267071287,0.375169426,0.4954735812,0.2494878204,0.8571774159,0.1036050265,0.3689298035,0.6404192852,0.1503198649,0.5517031527,0.4506088731,0.18517204045,0.6087555786,0.3220857442,0.2265311517,0.56295622925,0.1508887845,0.5491364366,0.6018050795,0.2681746181,0.3891440242,0.45042843095,0.4568896591,0.310731593,0.3273313129,0.5989861504,0.2913470773,0.32840533155,0.7620991582,0.1167141345,0.271893329,0.75743461605,0.12339447595,0.4016344839,0.7443852819,0.1064321966,0.3786498777,0.7025105158,0.114718663,0.3972718488,0.3345539117,0.4301811425,0.4203910429,0.6184255446,0.2343370702,0.4320363413,0.4228826591,0.3161505548,0.5556393437,0.371456435,0.2876058532,0.5881099477,0.3495777931,0.2578496211,0.524346716,0.3440803985,0.2582957389,0.6819212613,0.3156598396,0.1671815672,0.6544153997,0.25439531835,0.33934762555
0.2115226946,0.9815070505,0.1204750204,0.3801615933,0.8384254723,0.0648597566,0.5450023853,0.5198945259,0.1507909224,0.7637472498,0.1803549855,0.2885515925,0.7229654977,0.2065604177,0.3150561141,0.4583352094,0.1327374048,0.6497425815,0.3778979274,0.2577948736,0.6304014279,0.2339801849,0.4092889722,0.4484880109,0.2555015064,0.8571774159,0.091777333,0.42068276,0.603445545,0.1076599742,0.4664385561,0.527032879,0.1871105294,0.5811137682,0.3273117434,0.2735755038,0.5128057696,0.1065874081,0.563468485,0.599658783,0.3077845587,0.2996223744,0.3958557624,0.5459687112,0.296639316,0.3273313129,0.5357481603,0.395093506,0.2481114984,0.7825829125,0.1968739357,0.2324442847,0.6408496583,0.2992018644,0.4475992009,0.6367191947,0.1246063842,0.4063927876,0.5310690689,0.2294876347,0.4774362483,0.3921394473,0.3162051597,0.3962063179,0.6060335013,0.2433311814,0.4410498723,0.3393368175,0.406932287,0.5340372341,0.371456435,0.2876058532,0.6687140057,0.325375409,0.2315561485,0.5095599993,0.4079660413,0.2550777269,0.6153568132,0.4486085497,0.1157561219,0.7157210534,0.2229586278,0.2603230256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2826106222,0.8924733166,0.0775889747,0.5738399561,0.5615645665,0.0952253756,0.5989849057,0.4543760879,0.1459850912,0.7148715926,0.2398213216,0.2372561323,0.667019205,0.1977108898,0.3672838548,0.5207075859,0.1133472526,0.597227875,0.5727900774,0.0807129817,0.6176902058,0.3085402645,0.3665764513,0.4664576958,0.277856299,0.7369800657,0.1850817873,0.471393133,0.506048911,0.1834679574,0.4776576762,0.5474001708,0.142811189,0.5372065752,0.3683499803,0.2228634033,0.558192425,0.0957475919,0.6129181539,0.6973401151,0.2011276307,0.2532667176,0.4548149992,0.483979122,0.2434336583,0.347475528,0.4880360892,0.4249593759,0.2064722639,0.8380707029,0.1444420639,0.2603779586,0.6716824546,0.220128334,0.4265324754,0.7144892206,0.1163555074,0.2713799728,0.8034004615,0.0735385026,0.3864718951,0.3210660407,0.4502170202,0.4317748506,0.7182361335,0.0902211339,0.4159061212,0.392835182,0.3161505548,0.5150048848,0.4298978234,0.2235407893,0.6359733632,0.3878352314,0.2313554328,0.524346716,0.183036222,0.4377311734,0.7150655407,0.2511458137,0.1712206792,0.7353654388,0.1930322128,0.340632332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3341322034,0.8776964273,0.1519711989,0.3491342772,0.8516682383,0.1118461067,0.640262388,0.5245895396,0.140237851,0.6996015603,0.3556167521,0.2143712151,0.4256933903,0.355168921,0.5082028646,0.3941925389,0.3063977361,0.5712921372,0.3408236699,0.2629011904,0.6638784455,0.2733637297,0.255171195,0.7031425016,0.2494878204,0.9077707367,0.051110523,0.3556050656,0.7783031349,0.0738802195,0.517847089,0.4196802085,0.1832335515,0.5099358211,0.3472067258,0.3168132682,0.3862237387,0.237678827,0.5491171301,0.5816749285,0.1508077861,0.4320084061,0.4799855888,0.4298001962,0.2612470654,0.2512650861,0.6811645795,0.2228801503,0.2285913638,0.8493764985,0.1005967449,0.1811171028,0.7986152612,0.1056299995,0.3790988326,0.7072283347,0.1064321966,0.2699051776,0.7303942097,0.114718663,0.3948358948,0.3207060121,0.4556651901,0.3754382077,0.5517895753,0.2725225927,0.3512372956,0.5797495678,0.1795607586,0.5085611802,0.4089698592,0.2865177529,0.569037485,0.3101152602,0.3502469985,0.6061673212,0.3440803985,0.1607558802,0.6819212613,0.3156598396,0.1485738571,0.5187843834,0.3838453455,0.3408142171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1444605462,0.9854602991,0.1083951679,0.4125246255,0.6740133437,0.0863569929,0.5252639014,0.5270847734,0.1049203193,0.6912974919,0.4166858048,0.1475898496,0.2510435059,0.410301157,0.2479032371,0.3187012541,0.1514206397,0.7420660063,0.2571939213,0.2030248214,0.6884494132,0.1425544569,0.4034292515,0.5402068337,0.1578152124,0.9371805442,0.0543679822,0.4226029947,0.5264593444,0.1749663528,0.4533203715,0.4579809567,0.2018410181,0.5964379274,0.2554898577,0.1910872709,0.5885837558,0.1832167107,0.4962344379,0.603951376,0.2363311759,0.3020941703,0.4425997896,0.5384135437,0.1254807327,0.3429738479,0.4206248765,0.4467927825,0.3547889308,0.7422287641,0.1335275632,0.2609973057,0.8045213239,0.0761367372,0.4074079539,0.7331518998,0.1431220499,0.2970186784,0.8230370998,0.092069011,0.4760214544,0.3345539117,0.4264115243,0.4473086567,0.6184255446,0.1503807858,0.4753042678,0.3831311441,0.373561542,0.5850909973,0.3260470112,0.2980342073,0.691120018,0.3283984687,0.2750533921,0.6709298146,0.3341923902,0.2582957389,0.7816813822,0.2384333332,0.1877303297,0.674358756,0.319458948,0.2753113447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2414085787,0.9277040832,0.141187974,0.3684870281,0.7888199536,0.1193093371,0.5850319397,0.4563327339,0.1716298752,0.574971124,0.314631896,0.3124674894,0.5646004514,0.1296554485,0.5801985363,0.4163590699,0.1822927723,0.6569538036,0.3669824775,0.181111554,0.6591144823,0.2820268985,0.2896176701,0.6082905936,0.1701380976,0.9086787031,0.1843243237,0.3582897267,0.6641571978,0.1503198649,0.4930197795,0.4469381333,0.1460239872,0.5935224166,0.4143379091,0.220229318,0.5995940023,0.115828713,0.4801977182,0.4934234614,0.2910823262,0.3988005814,0.4460418627,0.3636464852,0.32482387,0.326414834,0.7180682368,0.1367027239,0.30249803,0.7540656485,0.1115133584,0.2180632664,0.7747768053,0.1245738929,0.4016344839,0.7472227968,0.0888973633,0.3884835498,0.7626838416,0.099157058,0.3972718488,0.2324324243,0.5649748665,0.4434185237,0.4981392679,0.3435243956,0.4883662039,0.4228826591,0.3810407911,0.502527151,0.4318715916,0.2974673988,0.4627328467,0.408659754,0.352689971,0.472017882,0.3332331724,0.4484014287,0.7840162448,0.2668469705,0.1630320208,0.5600817908,0.2447976311,0.4297762481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1879133503,0.9574094226,0.15447585,0.3201786462,0.7797709363,0.0762560704,0.4890929529,0.5762422622,0.0613603105,0.712377226,0.2808574828,0.162122392,0.5455901097,0.1795176811,0.4216957029,0.491274051,0.2314339928,0.3864100843,0.3611535556,0.2663138657,0.5158012588,0.2610078283,0.2969858894,0.4922968034,0.1801904396,0.9359003962,0.1036050265,0.316197347,0.7029513934,0.1007483203,0.4843125678,0.4940376163,0.2290539295,0.652578852,0.2913971484,0.1320844764,0.6071092019,0.1212227591,0.5331471147,0.6376455034,0.3087479949,0.2744720309,0.3602989876,0.7102464488,0.1565211127,0.2513494333,0.5942751646,0.323555833,0.3327820779,0.7661940546,0.1042448047,0.2827893523,0.7935604383,0.1124820669,0.3485127158,0.7800059241,0.1266115002,0.4096967714,0.6275865993,0.1214573051,0.4695918489,0.4229141204,0.3313168114,0.5006930397,0.5514081172,0.1931210867,0.4320363413,0.6030724673,0.1492630199,0.5971023789,0.4080057111,0.2437709698,0.5065368347,0.4701058791,0.2475355176,0.4792462791,0.4973751787,0.2333190393,0.8165551899,0.3134186401,0.1671815672,0.6566505085,0.2869378354,0.3380629191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4981637582,0.6265463033,0.1450176044,0.4633024492,0.5073342041,0.1301946749,0.7110262844,0.36600662,0.1443691893,0.8117713375,0.1943507976,0.2369436184,0.7101541178,0.218518436,0.3168246003,0.6221991475,0.1454907966,0.4639141823,0.4623284541,0.2617786566,0.5335661579,0.3954798693,0.375169426,0.4366892427,0.2278646659,0.8309228895,0.0972992804,0.3654589903,0.622212376,0.2077775265,0.6285916694,0.3449243025,0.1089716864,0.6805125634,0.2900627822,0.2597538722,0.5514995685,0.1754944292,0.5008324526,0.5739005438,0.2569324035,0.4119909589,0.3192815206,0.5246049917,0.3388229815,0.3395033135,0.6877234064,0.1954782681,0.3595616173,0.8295518646,0.0894917274,0.3673785233,0.802379567,0.1085856787,0.3615381093,0.7788127058,0.1023430343,0.3786498777,0.6726792136,0.0784936215,0.3319531026,0.4168453135,0.4097093906,0.4203910429,0.6722485597,0.0833583586,0.4921567219,0.5066420456,0.1445497466,0.5162027208,0.2638448544,0.4507590314,0.549336077,0.4822202445,0.166765798,0.5928476353,0.3789148264,0.1721626606,0.618076233,0.381684486,0.2194673989,0.6521802909,0.3217308106,0.2064430116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2232111282,0.897081429,0.2130514475,0.4276458103,0.6936904595,0.1140286667,0.6137964747,0.4298675327,0.1564559131,0.8121674932,0.162615138,0.2142857595,0.5371143209,0.2483090579,0.4481417381,0.4404067289,0.2901050265,0.4995069133,0.3933084426,0.1849043956,0.6132059865,0.1612871856,0.4745241178,0.5101482626,0.1483867977,0.9202951699,0.0812844079,0.3685704064,0.6231364922,0.0963747314,0.6218087627,0.5041417537,0.1504025956,0.6087555786,0.2291536099,0.3892342162,0.5762121618,0.0889520623,0.5992303539,0.5949544401,0.2738172961,0.4411652282,0.5518658858,0.3440894283,0.4148812018,0.2331977389,0.6159967302,0.2913470773,0.3610440066,0.7333876773,0.0965398877,0.380711209,0.6716168285,0.171012209,0.3833048837,0.776462531,0.1042624734,0.3538183444,0.7025105158,0.1275417664,0.3730085812,0.2679882617,0.5918644386,0.3409028418,0.6542359531,0.2343370702,0.3422243424,0.6685400479,0.2364978519,0.5614047129,0.4370068471,0.2656217474,0.6768194309,0.2213849563,0.4085742095,0.6162200167,0.2708079537,0.3582486613,0.6515924449,0.4318172663,0.1718218677,0.6409703441,0.2268152412,0.3837698104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1847803312,1.0360936779,0.1365847777,0.560412554,0.6304594655,0.1131296224,0.6756626168,0.4670768074,0.1601989105,0.8104977598,0.2358193707,0.2832236363,0.628654739,0.2398096907,0.4337635163,0.5628204629,0.1991792838,0.5163537785,0.4496250491,0.175381422,0.6309161754,0.2903904846,0.3323723115,0.6355841615,0.1826630746,1.0120216109,0.1111259876,0.3689298035,0.7842515992,0.1059326893,0.5670484837,0.3357102749,0.3626972173,0.5920648522,0.4073899846,0.2469121458,0.519154655,0.1478765262,0.5924919971,0.5590008519,0.1963510257,0.5317341249,0.4618315405,0.2916849133,0.5484895823,0.3069329426,0.5989861504,0.3333287661,0.370825636,0.7580042618,0.0664024797,0.3040151062,0.6631592491,0.1773925279,,,,,,,,,,,,,,,,0.560854052,0.3697861592,0.3008227788,0.5654681855,0.311729732,0.2681637246,,,,0.6728456655,0.3829399249,0.1246041667,0.6818625804,0.1572318275,0.3762814544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
